-7.0647,3.2714,-3.559,1.6189,2.1418,-0.63673,-2.3281,2.6118,3.5416
-1.0802,3.0494,3.5363,-3.489,-3.5181,-0.89005,1.3504,-1.8404,-1.8465
-2.1307,-3.2985,4.0427,3.0873,-1.9726,2.3479,1.3715,0.052678,2.7792
-2.3617,3.3062,-0.11697,3.4711,-3.6297,2.361,-2.6984,1.5922,-2.0513
-2.7522,0.0042059,-0.15359,1.4863,0.21947,0.08008,0.078084,0.48047,0.3356
-0.94357,-3.6055,-3.2082,2.309,2.8978,-0.091698,-0.014656,4.1147,-1.344
-2.8251,-2.4366,-0.86064,2.6745,2.1432,-0.59856,5.0573,0.51938,-3.3375
4.5624,0.5212,4.5799,-1.187,-2.0147,1.6126,-1.7582,-3.9809,-2.7421
-3.3717,4.0571,2.5913,1.3788,3.9925,1.8566,0.75615,-3.11,1.0291
4.3485,3.5567,3.5154,-2.5156,-3.5617,1.9485,-2.113,-1.8552,-0.20436
